y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
ULTRACEMCO,M&M,1.7856333850338122,0.9462949646662839,0.0010411907536340727,15.396261329551093,0.9471010057068082,19,-4.683378905148914e-14,0.06894310651569407,False,Cement,Auto,2015
SHREECEM,BAJFINANCE,3.9599436001948196,0.9013490487105058,0.0010625611768334841,15.20050882526849,0.9824465069299312,25,-1.3641057713145707e-14,0.07307044450436741,False,Cement,NBFC,2015
ICICIBANK,SHREECEM,0.27666713864161113,0.5878493282647086,0.0010746170872264417,15.410947581854886,0.9624214474172121,27,3.84689340934668e-14,0.06497198466115146,False,Bank,Cement,2015
HDFCBANK,SHREECEM,1.408189977640749,0.5169173154731901,2.150055050999988e-08,5.964150928285342,0.9896379375975187,38,-4.489647924449773e-14,0.031141291278775386,False,Bank,Cement,2016
TITAN,POWERGRID,0.6271612111353797,1.1973145685018527,5.399246072838674e-07,7.127011681864346,0.9571764583177851,35,2.2051731399168455e-15,0.06111234373713404,False,Consumer,Utilities,2016
HDFCBANK,MARUTI,2.2041947408051605,0.4855581034920763,4.897589791793446e-05,10.572246738612339,0.9857248591353143,27,1.63443626651695e-14,0.03651541375482711,False,Bank,Auto,2016
TATACONSUM,HINDALCO,3.760284142735955,0.23767305883780976,5.492132151449406e-05,10.88347470918007,0.7728632008372945,23,-6.326508981594146e-15,0.04904446845200694,False,Consumer,Metals & Mining,2016
KOTAKBANK,HDFCBANK,-1.9849834134135056,1.3669617956385332,8.15103485052132e-05,11.785067636895695,0.9855631733239646,24,4.363705164407639e-14,0.050930287052537083,True,Bank,Bank,2016
GRASIM,POWERGRID,2.6606066203183714,0.8260302100443728,8.321051611333947e-05,10.75768207300772,0.9512767073141613,23,-9.410461827775136e-15,0.04518280738843838,False,Cement,Utilities,2016
KOTAKBANK,INDUSINDBK,0.5787495073012038,0.8776264090795372,0.00011364290939334823,11.941627143481236,0.9851525174009707,16,3.645760941816705e-14,0.051644223262414655,True,Bank,Bank,2016
ASIANPAINT,HDFCBANK,-0.6289092393897908,1.1730545717579426,0.00018336949454357567,12.329985464453978,0.9740431643843972,25,-2.927346783553971e-14,0.059124937901579695,False,Consumer,Bank,2016
KOTAKBANK,ASIANPAINT,-0.9930338557035716,1.1246245190938629,0.00021756604537226805,12.476932123427199,0.9765076537899978,26,-2.7858961463424696e-14,0.06482027131644676,False,Bank,Consumer,2016
GRASIM,TITAN,2.4837469896750566,0.6448755752458828,0.0002572163875491789,11.651261149319213,0.9289730573984646,29,3.7565482764433206e-14,0.05424005333594375,False,Cement,Consumer,2016
KOTAKBANK,SHREECEM,-0.08631549902881511,0.7095861845912035,0.00028090246337716853,13.830878622269063,0.9794640422857309,18,-2.4045433486775745e-14,0.06064984388019149,False,Bank,Cement,2016
HDFCBANK,INDUSINDBK,1.923617221353525,0.6344739181511929,0.00030211877254055766,11.318366877171007,0.9878237684676912,31,2.0042756402227695e-15,0.03374208202108746,True,Bank,Bank,2016
ASIANPAINT,INDUSINDBK,1.5781826031068684,0.7520290638649834,0.00037264121728385226,13.524518815938043,0.9722105051567829,31,-4.308722690807155e-14,0.06114816966196724,False,Consumer,Bank,2016
ASIANPAINT,BAJFINANCE,3.9778608463331446,0.4365254218927541,0.0003877459339161353,14.352918632644252,0.9743198237673464,27,-6.858711129906523e-15,0.0588131248504461,False,Consumer,NBFC,2016
SHREECEM,BPCL,4.093461202403123,0.9939701053133253,0.00045032228040141873,13.872192576340995,0.981544847760585,30,-4.293332297555738e-14,0.07940402414854758,False,Cement,Energy,2016
ULTRACEMCO,SHREECEM,3.337982927883422,0.4981115924272466,0.0004724639361702144,13.280485860828435,0.9667880976841929,19,1.0407900291168531e-14,0.05467675846706169,True,Cement,Cement,2016
SHREECEM,MARUTI,1.619517154239535,0.9290579041955078,0.00048336413003217694,15.879062781251934,0.9851492475868541,23,1.0241308095515782e-13,0.07129392982169164,False,Cement,Auto,2016
ASIANPAINT,BAJAJFINSV,2.0595977382738884,0.6214893673340852,0.0005386586281609614,19.566654431083258,0.950967794121967,23,-8.860637091770297e-15,0.08078528621096687,False,Consumer,NBFC,2016
