pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
HCLTECH/ICICIBANK,2018-05-02,2018-05-18,12,-1,2.7655661377124003,0.49305623760423384,0.08829534227793043,target
HCLTECH/ICICIBANK,2018-07-09,2018-09-24,51,-1,2.2257231467615712,3.670859390964095,-0.06269252507571749,stop
HCLTECH/ICICIBANK,2018-09-26,2018-09-27,1,-1,3.477237358094643,3.6482494266440995,-0.010945455947046715,stop
HCLTECH/ICICIBANK,2018-10-04,2018-12-07,43,-1,3.188894454296401,0.4823921254589076,0.1059214391999713,target
HCLTECH/ICICIBANK,2019-02-05,2019-02-27,15,-1,2.049330464646323,2.3989083877991715,-0.018197700115042268,eow
UPL/ULTRACEMCO,2018-07-12,2018-09-17,44,1,-2.1024291470031744,-0.39918985321747974,0.06870367500364069,target
UPL/ULTRACEMCO,2019-01-25,2019-02-27,22,-1,2.1290650014724775,2.120567436734594,-0.0036372769303295548,eow
ULTRACEMCO/HEROMOTOCO,2018-05-29,2018-07-05,27,1,-2.018691511618316,-0.45157544157972807,0.04031985944896961,target
ULTRACEMCO/HEROMOTOCO,2018-07-24,2018-10-23,59,-1,2.155527439471955,0.36458291112713265,0.04664998776714021,target
ULTRACEMCO/HEROMOTOCO,2018-11-14,2018-12-12,19,-1,2.5911764649907885,0.4206752422100513,0.057384291161719336,target
ULTRACEMCO/HEROMOTOCO,2019-01-07,2019-02-05,21,-1,2.004608050883682,0.23706297770672577,0.04598822404456077,target
ULTRACEMCO/HEROMOTOCO,2019-02-21,2019-02-27,4,-1,2.1098007793755436,3.160761327965439,-0.033722382847346216,eow
ITC/SHREECEM,2018-07-27,2018-10-29,60,-1,2.434765340341097,3.245221793653517,-0.03832853273972725,time
ITC/SHREECEM,2018-10-29,2019-01-24,60,-1,3.245221793653517,1.5813434398066892,0.056902079399731666,time
HEROMOTOCO/HDFC,2018-07-23,2018-10-03,47,1,-2.952849766568983,-3.510767554204774,-0.02604808541702789,stop
HEROMOTOCO/HDFC,2018-10-08,2018-10-17,7,1,-3.0719794413457167,-3.816924331031996,-0.03343911974626478,stop
