Date,strategy,vol_targeted,benchmark_ew,ret,bench_ret,leverage
2015-05-26,1.025934642934112,1.0496169992580657,0.9950168313145918,0.00028995709804918984,-0.0007655023439840854,3.291447104729133
2015-05-27,1.033262948059522,1.0742969960246473,0.9916044461203831,0.007143052606598034,-0.0034294748458680384,3.291776906318199
2015-05-28,1.0331649206201925,1.073991398656207,0.9874676588246518,-9.48717260340539e-05,-0.004171811967883332,2.9983922511949523
2015-05-29,1.03248593274696,1.0718718772750033,0.9995917508453196,-0.0006571921478180584,0.012277963650068887,3.002926019245141
2015-06-01,1.032239746518492,1.0711048161629477,0.9986870573691831,-0.00023844027377006608,-0.0009050629673278953,3.001286656932024
2015-06-02,1.033795534463407,1.075949508996133,0.9771072021713698,0.001507196317679311,-0.021608225558325138,3.0009893231363285
2015-06-03,1.031402890815663,1.0684908393339483,0.9669139566517374,-0.0023144263715417753,-0.01043206466698894,2.9952019662580294
2015-06-04,1.034710091571357,1.078612255245338,0.9697050443728941,0.003206507161404652,0.002886593684945579,2.9541888457972436
2015-06-05,1.0324222997170158,1.071597983346804,0.970733830495811,-0.002211046236986764,0.001060926854909989,2.9411652199335254
2015-06-08,1.0306617218080185,1.0662909266461467,0.960549017308724,-0.001705288533073991,-0.010491870033915465,2.904182929147466
2015-06-09,1.0327504847324709,1.0725195344581406,0.9585685397913402,0.002026623168645663,-0.0020618182744414283,2.882320490537047
2015-06-10,1.0328069306993108,1.0726877418883802,0.9679576695746432,5.465595773077297e-05,0.009794948815393882,2.8694750716876998
2015-06-11,1.0274689583354295,1.0567779452574717,0.9513471506390304,-0.00516841260957364,-0.017160377419099523,2.869684375352116
2015-06-12,1.02558135397622,1.05148316862344,0.9509406802639043,-0.0018371400361014284,-0.000427257678601369,2.727229217096841
2015-06-15,1.02286705852076,1.0439473633948464,0.9522192777779874,-0.0026465920474632336,0.001344560749812834,2.7079481013262847
2015-06-16,1.0227003340778953,1.0434925395456847,0.9572095828096908,-0.00016299717688216957,0.0052407099374719365,2.672911287901505
2015-06-17,1.0225461281140023,1.0430720490815275,0.9673845385489698,-0.0001507831363251286,0.010629809732381085,2.67247733343014
2015-06-18,1.0231668576565132,1.044763986816669,0.9761787870295395,0.0006070430716468599,0.009090747402021484,2.67208680172623
2015-06-19,1.0202864143201948,1.0369055615327711,0.9821399710652163,-0.0028152234552590695,0.006106651890906546,2.671803178437062
2015-06-22,1.0209667403857188,1.0387277995072275,0.9940844103130835,0.0006667991026589331,0.012161646608183864,2.63554770911707
2015-06-23,1.0206462738874715,1.0378687659419077,0.998370249323618,-0.00031388534569320434,0.004311343147595184,2.6347374125099887
2015-06-24,1.0209818121063365,1.0387673745126405,0.9916152471466094,0.0003287507410250494,-0.0067660291175391934,2.633670103105306
2015-06-25,1.0223066651624715,1.0423216600966516,0.9955640199382672,0.0012976265007127257,0.0039821622378441385,2.6368432464544576
2015-06-26,1.0187502225269867,1.0327751440555315,0.9966010478633741,-0.003478841287726184,0.0010416486577842765,2.6327433722071785
2015-06-29,1.0174177942175693,1.029250468077938,0.9869419574993277,-0.0013079048033111467,-0.009692033120730466,2.609379743820504
2015-06-30,1.017038766897588,1.0282526761768447,0.9944204511428457,-0.0003725385206898309,0.007577440179427229,2.6022422012052924
