y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
ASIANPAINT,BAJAJFINSV,2.1804409562821103,0.6065111990004575,0.0002686769478363363,14.429649920470073,0.9705930520110603,25,-3.9202033741473254e-14,0.06273535505785097,False,Consumer,NBFC,2016-05-13
M&M,GRASIM,0.3576883740867821,0.9581197640125153,0.0002897373313347198,13.77613330115328,0.9211852416714025,22,2.3385173867898138e-14,0.06229126139072596,False,Auto,Cement,2016-05-13
HDFCBANK,SHREECEM,1.4659323509528643,0.5102194127069692,3.1763834459888604e-08,6.43862872427255,0.9895023790977885,36,3.739513108340607e-15,0.03131182052665435,False,Bank,Cement,2016-08-11
TCS,AXISBANK,5.09137120803622,0.3104946773032153,7.528553699509176e-07,11.659958776493815,0.8879565015704987,22,-1.531167902639118e-14,0.05567304752684098,False,IT,Bank,2016-08-11
HDFCBANK,INDUSINDBK,2.1370882233421464,0.6021405942206063,1.6422780044848092e-06,7.664173412766681,0.9924646497602325,23,3.921260729408873e-14,0.026548358829043772,True,Bank,Bank,2016-08-11
TCS,M&M,2.8454945075537426,0.6496373384410461,4.508826972220252e-06,12.215882409428401,0.8696911108353094,21,-1.1662628534871881e-13,0.05974858516195655,False,IT,Auto,2016-08-11
TCS,POWERGRID,4.478325386804265,0.5746293032328251,9.933739023859196e-06,14.253117684163406,0.8490235529988674,21,-1.7172624286715253e-14,0.0639560295890002,False,IT,Utilities,2016-08-11
ASIANPAINT,INDUSINDBK,1.6862397126919824,0.7383187929836328,1.2092957505330181e-05,9.67190037632912,0.9823722367776885,25,3.2597087874338196e-14,0.05017262635045847,False,Consumer,Bank,2016-08-11
SHREECEM,INDUSINDBK,1.469294385673352,1.15652475126785,1.565803551383361e-05,11.633129597266391,0.9829065007784171,20,7.669350163759811e-15,0.07736011662561747,False,Cement,Bank,2016-08-11
TECHM,ICICIBANK,1.3761525132396586,0.8677544074722814,2.2789630979407644e-05,16.663275459739864,0.8825256829021596,15,-1.6701513775736746e-14,0.0953603640282464,False,IT,Bank,2016-08-11
