pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
BPCL/SHREECEM,2016-10-06,2016-11-16,25,-1,2.842196844764374,2.7532268066229033,-0.09112278220293588,eow
TCS/INDUSINDBK,2016-09-07,2016-10-27,33,1,-2.0774028416027877,-0.3837569076604099,-0.002164870070437589,target
TCS/INDUSINDBK,2016-11-09,2016-11-16,4,1,-2.280501477974716,-1.3287816606511207,0.02298028857164031,eow
SHREECEM/HDFCBANK,2016-11-17,2016-11-22,3,1,-3.1874482490565543,-0.10295755575315593,0.04764959424612715,target
INDUSINDBK/HDFCBANK,2017-01-09,2017-01-25,12,-1,2.113923306685092,0.30379116312403487,0.010874482807871257,target
TCS/SUNPHARMA,2016-11-18,2016-11-25,5,1,-2.085239948842208,-0.09901901055888099,0.038421592428906776,target
TCS/SUNPHARMA,2016-12-20,2017-01-13,18,-1,2.380198676833255,0.08393934122741546,0.03522115736086855,target
ULTRACEMCO/SHREECEM,2016-11-18,2017-01-05,34,1,-2.1513413645655017,-0.2030260166132678,-0.006602831926871068,target
INDUSINDBK/SHREECEM,2016-11-17,2016-11-21,2,-1,3.326803159222343,0.2535626030717319,0.04601721362417988,target
INDUSINDBK/SHREECEM,2017-01-11,2017-02-14,23,-1,2.2747405686420636,1.9962846284422842,-0.03606423953928761,eow
SHREECEM/BPCL,2016-11-17,2016-12-05,12,1,-2.9262348282818174,-0.4241590283985663,0.0774452232384556,target
SHREECEM/BPCL,2017-01-05,2017-01-18,9,1,-2.00789289474809,0.16334224116596507,0.05230544328981862,target
SHREECEM/HDFCBANK,2017-02-15,2017-04-05,32,1,-2.0723498357288976,-0.36523705284204205,-0.013816192191343335,target
HDFCBANK/INDUSINDBK,2017-02-17,2017-02-20,1,-1,2.3032272700297254,3.506712774695619,-0.01895157346381788,stop
HDFCBANK/INDUSINDBK,2017-02-22,2017-03-27,21,-1,2.752947296175424,0.43973256257461707,0.011653765739324163,target
HDFCBANK/INDUSINDBK,2017-04-24,2017-05-19,18,-1,2.484198719028606,2.2331739115181155,-0.02708911711744849,eow
HCLTECH/CIPLA,2017-03-23,2017-04-05,8,-1,2.1269367879926855,0.2822073177229161,0.014628130344208743,target
KOTAKBANK/EICHERMOT,2017-03-01,2017-05-11,47,-1,3.006781396684056,0.26455356274351893,-0.016352258774142765,target
TCS/AXISBANK,2017-02-20,2017-03-24,22,-1,2.528444196912855,0.45874104711035024,0.02383596785887844,target
TCS/SUNPHARMA,2017-05-18,2017-05-19,1,-1,2.3847015853445392,1.8477496201790329,0.004005692316994894,eow
ULTRACEMCO/SHREECEM,2017-05-17,2017-05-19,2,-1,2.793091253067817,1.7275497723010866,0.008410108314758571,eow
SHREECEM/INDUSINDBK,2017-04-24,2017-05-19,18,-1,2.5452206205820684,1.2484971320578366,-0.02194001143384715,eow
BPCL/BAJAJFINSV,2017-02-15,2017-04-17,39,1,-2.8872916446672545,-0.48570133387939174,-0.03341832897704545,target
HCLTECH/CIPLA,2017-05-23,2017-05-25,2,-1,3.21235973271137,3.6120548337399865,-0.02359979432402496,stop
HCLTECH/CIPLA,2017-05-29,2017-06-13,11,-1,2.9537430302871015,0.34930451952542624,0.038980727322839366,target
UPL/BPCL,2017-06-01,2017-07-18,32,-1,2.1660608363350726,0.329127479954481,-0.01905940848331738,target
SHREECEM/HDFCBANK,2017-05-22,2017-05-25,3,1,-2.868561571456192,-3.923973777709309,-0.03372167099506734,stop
SHREECEM/HDFCBANK,2017-05-29,2017-08-18,57,1,-3.1494505926949485,-1.359898486258676,-0.06117603939064495,eow
BPCL/BAJAJFINSV,2017-05-24,2017-06-08,11,-1,2.3534789090159935,0.2156816622451019,0.0315699580361563,target
