pair,times_selected,avg_adf_p,avg_half_life,avg_corr,avg_beta,same_sector,sector_y,sector_x,trades,total_pnl,win_rate
TCS/AXISBANK,3,0.00019456878276598842,13.262064604954693,0.8320689259977665,0.27233344027718004,False,IT,Bank,3.0,0.06782365221638326,1.0
SHREECEM/INDUSINDBK,3,0.00036383075776237096,13.404129770810195,0.9780145833830346,1.0905190720968225,False,Cement,Bank,4.0,-0.06006454143455237,0.0
GRASIM/POWERGRID,3,0.0001503349823794442,11.908817093195202,0.9412840476202105,0.8061816494530293,False,Cement,Utilities,3.0,-0.10269841660338522,0.0
KOTAKBANK/ASIANPAINT,2,0.000205659345926668,12.599283913033297,0.9752003512825503,1.1032941744916438,False,Bank,Consumer,5.0,0.020819628139013207,0.6
HCLTECH/ADANIPORTS,2,0.00019435887404031297,12.316875531453707,0.7880339746428484,0.2848088624362577,False,IT,Infrastructure,2.0,0.04785300499680657,0.5
KOTAKBANK/GRASIM,2,0.00011771961320077354,12.366332849321722,0.959573783050214,0.585161752912397,False,Bank,Cement,2.0,-0.10022667364510243,0.0
SHREECEM/MARUTI,2,6.969930538153642e-05,12.079687970303272,0.9880583562106605,0.9758282084099539,False,Cement,Auto,4.0,0.06211850095580271,0.75
SHREECEM/BPCL,2,0.00040278374131495846,12.126100914972003,0.9844231202105977,0.9854808828633381,False,Cement,Energy,3.0,0.16506583074808256,1.0
M&M/TCS,2,0.0002618048018908973,14.084090517663428,0.850829961494544,0.7231591526544785,False,Auto,IT,4.0,0.05806397269839722,0.75
BAJAJ-AUTO/NTPC,2,0.0002262752495118151,13.4943600695597,0.8994232816979582,0.7974889752832428,False,Auto,Utilities,4.0,0.05258245014461692,1.0
BAJAJ-AUTO/BHARTIARTL,2,0.00019740083802455608,14.733372340088195,0.7172342612936966,0.34046646212132414,False,Auto,Telecom,3.0,-0.07910773130197532,0.3333333333333333
ASIANPAINT/INDUSINDBK,2,0.0001891523951425998,12.690818938183085,0.9729602965542117,0.7665294296848123,False,Consumer,Bank,5.0,-0.01549473630663251,0.4
BAJAJ-AUTO/HINDALCO,2,0.00028146320958523954,15.71232938140528,0.8993370031383248,0.241403457313214,False,Auto,Metals & Mining,3.0,0.04785056955883925,0.6666666666666666
HDFC/ICICIBANK,2,0.0003426317877347986,16.571239338437692,0.8908016224572197,0.865589042509421,False,NBFC,Bank,2.0,-0.011615801206900339,0.5
RELIANCE/HCLTECH,2,0.00017781421336676725,11.751571747615227,0.9169208570060877,1.940713472168353,False,Energy,IT,2.0,-0.10323437441287281,0.5
NTPC/POWERGRID,2,0.0004144943963820605,12.231025138767965,0.928147140135237,0.586197138950814,True,Utilities,Utilities,4.0,-0.029261872830176235,0.25
KOTAKBANK/INDUSINDBK,2,0.0004172465784724615,13.32372420985892,0.9760795393090831,0.7514946058104652,True,Bank,Bank,4.0,0.054037306416735875,1.0
LT/TITAN,2,0.0001951714236835518,12.376948887211956,0.9597257377265845,0.3717726451813963,False,Infrastructure,Consumer,4.0,0.04823912973811871,0.75
TATACONSUM/HINDALCO,2,0.0001126674252918337,11.619519625021223,0.7485978325051299,0.24493391479727084,False,Consumer,Metals & Mining,3.0,0.06467717475432927,1.0
TCS/HCLTECH,2,8.930661441478171e-05,11.336036654147215,0.9791958795009914,0.7242405369483589,True,IT,IT,5.0,0.08843577730664867,1.0
TCS/M&M,2,0.00024179033302108892,13.510314656311778,0.7869200114913096,0.5677477743598639,False,IT,Auto,2.0,0.07789845402928593,1.0
TCS/SUNPHARMA,2,0.00030791872304626,14.599861737024055,0.7934005841815106,0.4249705764847462,False,IT,Pharma,3.0,0.07764844210677022,1.0
COALINDIA/POWERGRID,2,0.0003191752044245816,11.578222342172122,0.9241560139014119,0.9468718166604584,False,Metals & Mining,Utilities,2.0,-0.06563201524186665,0.5
HCLTECH/CIPLA,2,0.0001587931885991409,13.213693441695177,0.8230458176597718,0.49850635972283236,False,IT,Pharma,3.0,0.030009063343023147,0.6666666666666666
BPCL/BAJAJFINSV,2,0.0006038451461237116,14.901462874824302,0.9745994208881101,0.7376346452746954,False,Energy,NBFC,3.0,0.046356835435227936,0.6666666666666666
BPCL/SHREECEM,2,5.3181659530820803e-05,11.190927508605647,0.9846631709232678,0.9719047659080859,False,Energy,Cement,4.0,0.02416690197824546,0.75
GRASIM/TATAMOTORS,2,0.0011730591486188967,13.49411375293479,0.9560328731192018,0.46387815725642884,False,Cement,Auto,4.0,-0.01574112828357066,0.5
HDFCBANK/INDUSINDBK,2,7.026168580460757e-06,8.242959398675787,0.9918394599312008,0.5939050920814803,True,Bank,Bank,7.0,0.000583134057130924,0.7142857142857143
HINDUNILVR/KOTAKBANK,2,0.0007213383451892416,15.201299448309882,0.9371148440229201,0.6575213600163083,False,Consumer,Bank,3.0,-0.08681618897680432,0.3333333333333333
ITC/ONGC,2,0.00033413916663664817,11.43415079900608,0.9439295350563172,0.6003717622602163,False,Consumer,Energy,5.0,0.07706551718535988,0.8
INFY/TCS,2,0.00029179581820918944,12.906760844076196,0.9743156761646898,1.1613912539683116,True,IT,IT,2.0,-0.007912886259626384,0.5
NTPC/INDUSINDBK,2,0.0013349768062608717,15.280930687010848,0.9048080304973365,0.256468419450145,False,Utilities,Bank,4.0,0.07677451245732238,0.75
ASIANPAINT/HDFC,1,0.0004915476843439442,16.47879738721233,0.9164598827873812,0.5164765627507232,False,Consumer,NBFC,1.0,-7.537927819103226e-05,0.0
BAJAJ-AUTO/BPCL,1,7.55719331281294e-05,12.270931727343694,0.7682266837616505,0.38480623870843844,False,Auto,Energy,2.0,0.03389926031702907,1.0
ASIANPAINT/BAJAJFINSV,1,0.0002686769478363363,14.429649920470073,0.9705930520110603,0.6065111990004575,False,Consumer,NBFC,1.0,0.027698868455170965,1.0
ASIANPAINT/HEROMOTOCO,1,0.0006371261394947308,23.95422633341752,0.8411895739399073,0.8532484893372618,False,Consumer,Auto,2.0,0.04254357074955596,1.0
ASIANPAINT/HDFCBANK,1,0.00018336949454357567,12.329985464453978,0.9740431643843972,1.1730545717579426,False,Consumer,Bank,2.0,0.025870929751576077,1.0
ADANIPORTS/ULTRACEMCO,1,0.0009111458548813645,14.918770191212847,0.9603061320264017,1.2572134438453342,False,Infrastructure,Cement,1.0,0.03654462894296488,1.0
ADANIPORTS/IOC,1,0.0006252251803631209,14.881309858347292,0.7212485943704778,0.360644526980056,False,Infrastructure,Energy,,,
ADANIPORTS/MARUTI,1,6.940997762724896e-05,10.277041143001384,0.980857850893858,0.9252483170959501,False,Infrastructure,Auto,1.0,0.019734304557284768,1.0
ADANIPORTS/SHREECEM,1,4.6905358180259384e-05,9.916819738035192,0.9802204875835228,0.898321386555744,False,Infrastructure,Cement,3.0,0.05570086216294392,0.6666666666666666
ASIANPAINT/JSWSTEEL,1,0.0005349950003136047,23.534340493647473,0.8691401297592851,0.3987403941179858,False,Consumer,Metals & Mining,1.0,-0.042072893172095845,0.0
BAJFINANCE/JSWSTEEL,1,0.0003325807491121809,34.03972514393498,0.9178368309882736,1.305127218907856,False,NBFC,Metals & Mining,1.0,-0.08881096115411083,0.0
BAJAJFINSV/HDFC,1,7.419933718963213e-05,14.015502802935803,0.9590669284334218,1.7256084245831156,True,NBFC,NBFC,1.0,0.020734287798344145,1.0
BAJAJ-AUTO/ULTRACEMCO,1,0.0002673905275222722,13.135073154819912,0.9283529914909678,0.7202010745892571,False,Auto,Cement,3.0,0.008455178166092703,0.6666666666666666
BAJAJ-AUTO/TATASTEEL,1,2.3192751876638265e-05,15.355332653017342,0.8897012699181956,0.27827798669018317,False,Auto,Metals & Mining,2.0,0.04524794568078286,0.5
BAJAJ-AUTO/SHREECEM,1,0.0008616304682330949,15.36362597118412,0.8949444072716356,0.529976399899624,False,Auto,Cement,1.0,0.02345097690709446,1.0
