pair,trades,total_pnl,avg_pnl,win_rate,avg_days
HDFCBANK/BAJAJFINSV,4,-0.07432435968142873,-0.01858108992035718,0.5,20.0
BAJAJ-AUTO/BHARTIARTL,3,-0.07910773130197532,-0.026369243767325107,0.3333333333333333,20.0
HINDUNILVR/KOTAKBANK,3,-0.08681618897680432,-0.028938729658934775,0.3333333333333333,26.333333333333332
BAJFINANCE/JSWSTEEL,1,-0.08881096115411083,-0.08881096115411083,0.0,31.0
KOTAKBANK/GRASIM,2,-0.10022667364510243,-0.050113336822551216,0.0,23.0
GRASIM/POWERGRID,3,-0.10269841660338522,-0.03423280553446174,0.0,21.0
RELIANCE/HCLTECH,2,-0.10323437441287281,-0.051617187206436405,0.5,44.5
MARUTI/TATAMOTORS,1,-0.11941766333988225,-0.11941766333988225,0.0,36.0
ICICIBANK/WIPRO,2,-0.1460185862039876,-0.0730092931019938,0.0,26.5
RELIANCE/TECHM,1,-0.17264772301353126,-0.17264772301353126,0.0,47.0
CIPLA/COALINDIA,2,-0.19486421726235753,-0.09743210863117877,0.0,29.0
HINDALCO/TATASTEEL,5,-0.2325410027264453,-0.046508200545289057,0.2,18.0
